coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
VipStarCoin,https://www.vipstarcoin.jp,49.212.198.29,AS9371 SAKURA Internet Inc.,Toyonaka,JP,Ōsaka,"34.7824,135.4693",561-0822,Asia/Tokyo,Error,www2819.sakura.ne.jp,
MoonCoin,http://mooncoin.com,192.64.118.79,"AS22612 Namecheap, Inc.",San Jose,US,California,"37.3394,-121.8950",95103,America/Los_Angeles,Error,server82-5.web-hosting.com,
PascalCoin,http://www.pascalcoin.org,192.185.184.201,AS46606 Unified Layer,Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,192-185-184-201.unifiedlayer.com,
Amoveo,https://amoveo.io,116.203.47.82,AS24940 Hetzner Online GmbH,Gunzenhausen,DE,Bavaria,"49.1166,10.7597",91710,Europe/Berlin,Error,static.82.47.203.116.clients.your-server.de,
Bismuth,https://bismuth.cz,46.28.105.112,"AS197019 WEDOS Internet, a.s.",Hluboká nad Vltavou,CZ,Jihočeský kraj,"49.0523,14.4343",373 41,Europe/Prague,Error,wl53-wv3.wedos.net,
Konjungate,https://www.konjungate.net,54.37.173.127,AS16276 OVH SAS,Gravelines,FR,Hauts-de-France,"50.9865,2.1281",59820,Europe/Paris,Error,cluster028.hosting.ovh.net,
DeepOnion,https://deeponion.org,104.26.5.190,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Espers,http://espers.io,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
BitTubeCash,https://bittube.cash,91.134.173.229,AS16276 OVH SAS,Strasbourg,FR,Grand Est,"48.5839,7.7455",67000,Europe/Paris,Error,ip229.ip-91-134-173.eu,
Equilibria,https://www.equilibria.network,172.67.180.230,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
GlobalBoost-Y,http://globalboost-y.com,107.150.60.101,"AS33387 Nocix, LLC",Kansas City,US,Missouri,"39.0997,-94.5786",64121,America/Chicago,Error,,
Sumokoin,https://www.sumokoin.org,135.181.95.120,AS24940 Hetzner Online GmbH,Tuusula,FI,Uusimaa,"60.3540,24.9794",04360,Europe/Helsinki,Error,static.120.95.181.135.clients.your-server.de,
Denarius,https://denarius.io,104.21.48.98,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Zclassic,http://zclassic.org,185.199.109.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-109-153.github.com,True
SafeCoin,https://safecoin.org,104.21.20.203,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
